Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,10189.750000,10199.200195,10126.000000,10142.950195,10142.950195,389700
2023-07-04,10182.799805,10184.500000,10095.799805,10119.599609,10119.599609,585800
2023-07-05,10137.049805,10205.049805,10113.450195,10194.150391,10194.150391,434800
2023-07-06,10200.799805,10271.900391,10182.400391,10267.400391,10267.400391,321700
2023-07-07,10255.750000,10266.500000,10117.900391,10169.950195,10169.950195,340800
2023-07-10,10203.599609,10203.950195,10099.099609,10141.849609,10141.849609,356200
2023-07-11,10173.200195,10275.150391,10169.099609,10249.250000,10249.250000,291100
2023-07-12,10282.250000,10306.049805,10244.900391,10286.000000,10286.000000,301100
2023-07-13,10321.599609,10327.700195,10161.450195,10193.950195,10193.950195,393700
2023-07-14,10241.849609,10356.849609,10218.750000,10350.950195,10350.950195,275300
2023-07-17,10382.750000,10423.049805,10361.549805,10373.750000,10373.750000,471100
2023-07-18,10411.849609,10416.349609,10314.299805,10368.599609,10368.599609,503100
2023-07-19,10396.500000,10460.000000,10384.549805,10454.900391,10454.900391,480500
2023-07-20,10481.299805,10483.299805,10447.450195,10476.250000,10476.250000,340700
2023-07-21,10428.799805,10479.299805,10411.950195,10446.549805,10446.549805,460000
2023-07-24,10461.049805,10522.299805,10437.700195,10461.200195,10461.200195,498300
2023-07-25,10515.099609,10515.799805,10428.450195,10503.450195,10503.450195,335500
2023-07-26,10530.849609,10585.799805,10519.450195,10562.150391,10562.150391,780200
2023-07-27,10615.349609,10656.450195,10583.099609,10624.500000,10624.500000,719700
2023-07-28,10644.799805,10694.750000,10623.750000,10686.299805,10686.299805,397700
2023-07-31,10704.200195,10831.500000,10689.450195,10822.500000,10822.500000,506500
2023-08-01,10854.500000,10864.150391,10772.400391,10793.950195,10793.950195,277000
2023-08-02,10781.650391,10784.900391,10548.849609,10643.200195,10643.200195,434500
2023-08-03,10628.200195,10696.549805,10581.900391,10657.549805,10657.549805,322300
2023-08-04,10705.799805,10780.349609,10666.000000,10741.900391,10741.900391,388700
2023-08-07,10761.900391,10795.349609,10739.549805,10787.799805,10787.799805,366500
2023-08-08,10818.849609,10840.650391,10708.799805,10803.400391,10803.400391,505500
2023-08-09,10834.549805,10865.950195,10744.500000,10855.900391,10855.900391,303700
2023-08-10,10875.000000,10900.750000,10803.150391,10868.150391,10868.150391,469400
2023-08-11,10909.549805,10913.400391,10807.200195,10821.849609,10821.849609,411100
2023-08-14,10805.900391,10849.000000,10674.150391,10827.450195,10827.450195,329500
2023-08-16,10804.950195,10851.849609,10743.200195,10837.549805,10837.549805,0
2023-08-17,10858.250000,10903.549805,10839.299805,10872.750000,10872.750000,422200
2023-08-18,10878.900391,10896.099609,10794.150391,10824.299805,10824.299805,274800
2023-08-21,10847.299805,10922.700195,10818.299805,10904.000000,10904.000000,230700
2023-08-22,10934.099609,11015.000000,10918.900391,11009.200195,11009.200195,412700
2023-08-23,11038.400391,11106.450195,11026.900391,11081.700195,11081.700195,306300
2023-08-24,11142.299805,11185.650391,11118.650391,11131.049805,11131.049805,327300
2023-08-25,11098.900391,11132.349609,11003.250000,11021.599609,11021.599609,656600
2023-08-28,11052.049805,11093.000000,11031.650391,11073.049805,11073.049805,711300
2023-08-29,11105.849609,11129.099609,11085.950195,11109.349609,11109.349609,552900
2023-08-30,11159.900391,11235.049805,11150.200195,11205.349609,11205.349609,439100
2023-08-31,11249.500000,11261.400391,11140.200195,11182.650391,11182.650391,1366100
2023-09-01,11187.349609,11274.750000,11154.250000,11260.599609,11260.599609,1159000
2023-09-04,11310.349609,11349.650391,11260.599609,11327.049805,11327.049805,0
2023-09-05,11361.599609,11448.700195,11327.049805,11437.650391,11437.650391,467000
2023-09-06,11467.150391,11489.099609,11418.849609,11469.650391,11469.650391,663700
2023-09-07,11487.599609,11530.700195,11458.150391,11520.799805,11520.799805,513500
2023-09-08,11559.250000,11656.849609,11520.799805,11647.150391,11647.150391,678100
2023-09-11,11714.450195,11736.150391,11685.650391,11725.650391,11725.650391,939100
2023-09-12,11789.950195,11789.950195,11371.500000,11386.500000,11386.500000,862100
2023-09-13,11381.150391,11463.099609,11271.349609,11454.950195,11454.950195,727400
2023-09-14,11508.049805,11589.200195,11497.049805,11582.799805,11582.799805,435700
2023-09-15,11638.349609,11654.099609,11585.950195,11635.900391,11635.900391,834700
2023-09-18,11652.500000,11654.750000,11579.500000,11595.500000,11595.500000,817700
2023-09-20,11568.549805,11648.549805,11509.150391,11594.700195,11594.700195,468300
2023-09-21,11577.299805,11634.099609,11473.150391,11502.500000,11502.500000,452000
2023-09-22,11513.900391,11570.250000,11427.849609,11494.900391,11494.900391,558200
2023-09-25,11513.299805,11618.500000,11414.099609,11600.650391,11600.650391,471100
2023-09-26,11602.150391,11639.450195,11543.849609,11554.700195,11554.700195,742600
2023-09-27,11574.950195,11672.400391,11544.400391,11655.000000,11655.000000,674500
2023-09-28,11674.799805,11680.650391,11432.500000,11453.650391,11453.650391,679400
